ID	Block	Trial	TTrial	Task	CorrectKey	RT	Resp	Error	imageShown	totalEarned	LeftCorrect	RightCorrect	Response	DelayStep	totalTime	RTBASELINE	DELAY	DelayArea	blockType	LEFTREWARD	RIGHTREWARD	LeftTask	RightTask	CURRENTTASKSQUARE	LeftPos	RightPos	LeftImg	RightImg
68	5	131	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPLEFT 	UPLEFT 
68	5	132	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 
68	5	133	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNRIGHT 	DOWNLEFT 	UPLEFT 
68	5	134	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPRIGHT 	UPLEFT 
68	5	135	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	UPRIGHT 	DOWNRIGHT 	DOWNLEFT 
68	5	136	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNLEFT 	DOWNRIGHT 	UPRIGHT 
68	5	137	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNRIGHT 	UPLEFT 	UPLEFT 
68	5	138	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 	DOWNLEFT 
68	5	139	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	UPRIGHT 	UPLEFT 
68	5	140	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPRIGHT 	UPRIGHT 
